File,Result,
../../../../myLGfiles/34_em_235.lg, Correct,
../../../../myLGfiles/34_em_236.lg, Correct,
../../../../myLGfiles/34_em_237.lg, Correct,
../../../../myLGfiles/34_em_238.lg, Correct,
../../../../myLGfiles/34_em_239.lg, Correct,
../../../../myLGfiles/34_em_240.lg, Correct,
../../../../myLGfiles/34_em_241.lg, Correct,
../../../../myLGfiles/34_em_242.lg, Correct,
../../../../myLGfiles/34_em_243.lg, Correct,
../../../../myLGfiles/34_em_244.lg, Correct,
../../../../myLGfiles/34_em_245.lg, Correct,
../../../../myLGfiles/34_em_246.lg, Correct,
../../../../myLGfiles/34_em_247.lg, Correct,
../../../../myLGfiles/34_em_248.lg, Correct,
../../../../myLGfiles/34_em_249.lg, Correct,
../../../../myLGfiles/35_em_0.lg, Correct,
../../../../myLGfiles/35_em_1.lg, Correct,
../../../../myLGfiles/35_em_10.lg, Correct,
../../../../myLGfiles/35_em_11.lg, Correct,
../../../../myLGfiles/35_em_12.lg, Correct,
../../../../myLGfiles/35_em_13.lg, Correct,
../../../../myLGfiles/35_em_14.lg, Correct,
../../../../myLGfiles/35_em_15.lg, Correct,
../../../../myLGfiles/35_em_16.lg, Correct,
../../../../myLGfiles/35_em_17.lg, Correct,
../../../../myLGfiles/35_em_18.lg, Correct,
../../../../myLGfiles/35_em_19.lg, Correct,
../../../../myLGfiles/35_em_2.lg, Correct,
../../../../myLGfiles/35_em_20.lg, Correct,
../../../../myLGfiles/35_em_21.lg, Correct,
../../../../myLGfiles/35_em_22.lg, Correct,
../../../../myLGfiles/35_em_23.lg, Correct,
../../../../myLGfiles/35_em_24.lg, Correct,
../../../../myLGfiles/35_em_3.lg, Correct,
../../../../myLGfiles/35_em_4.lg, Correct,
../../../../myLGfiles/35_em_5.lg, Correct,
../../../../myLGfiles/35_em_6.lg, Correct,
../../../../myLGfiles/35_em_7.lg, Correct,
../../../../myLGfiles/35_em_8.lg, Correct,
../../../../myLGfiles/35_em_9.lg, Correct,
../../../../myLGfiles/36_em_25.lg, Correct,
../../../../myLGfiles/36_em_26.lg, Correct,
../../../../myLGfiles/36_em_27.lg, Correct,
../../../../myLGfiles/36_em_28.lg, Correct,
../../../../myLGfiles/36_em_29.lg, Correct,
../../../../myLGfiles/36_em_30.lg, Correct,
../../../../myLGfiles/36_em_31.lg, Correct,
../../../../myLGfiles/36_em_32.lg, Correct,
../../../../myLGfiles/36_em_33.lg, Correct,
../../../../myLGfiles/36_em_34.lg, Correct,
../../../../myLGfiles/36_em_35.lg, Correct,
